university,college
"Adikavi Nannaya University, Rajahmundry, East Godawari ",Ch.S.D. St. THERESAS (A) COLLEGE FOR WOMEN
"Adikavi Nannaya University, Rajahmundry, East Godawari ",Ch. S.D. St. Theresas College for Women
"Adikavi Nannaya University, Rajahmundry, East Godawari ",CH.V.P.M.R. GOVT. DEGREE COLLEGE
"Adikavi Nannaya University, Rajahmundry, East Godawari ",C.N.R. Degree College
"Adikavi Nannaya University, Rajahmundry, East Godawari ",C.S.T.S. GOVT. KALASALA
"Adikavi Nannaya University, Rajahmundry, East Godawari ","Deepthi Degree College, Mamidikuduru "
"Adikavi Nannaya University, Rajahmundry, East Godawari ",D.L.R.Degree College
"Adikavi Nannaya University, Rajahmundry, East Godawari ",D.N.R. (A) COLLEGE
"Adikavi Nannaya University, Rajahmundry, East Godawari ",D.N.R. GOVT. DEGREE COLLEGE FOR WOMEN
"Adikavi Nannaya University, Rajahmundry, East Godawari ",Dr.B.R.Ambedkar Degree college
"Adikavi Nannaya University, Rajahmundry, East Godawari ",Dr. B.V. RAJU INSTITUTE OF COMPUTER EDUCATION
"Adikavi Nannaya University, Rajahmundry, East Godawari ",Dr. C.S.N. DEGREE COLLEGE
"Adikavi Nannaya University, Rajahmundry, East Godawari ",Dr. C S N Degree & PG College
"Adikavi Nannaya University, Rajahmundry, East Godawari ",Dr. C.S.N. Institute of Pharmacy
"Adikavi Nannaya University, Rajahmundry, East Godawari ",D.R.G. DEGREE COLLEGE FOR WOMEN
"Adikavi Nannaya University, Rajahmundry, East Godawari ",D.R.G.Govt.Degree College
"Adikavi Nannaya University, Rajahmundry, East Godawari ",Dr.K.V.R.D & S.G.J.V.S.Degree College
